# Text,Tint synthetic,Qhvac,Qsun - step=1800s
0.000000000000000000e+00 1.930032447713166377e+01 2.371000000000000000e+03 5.518155437682056297e-01
0.000000000000000000e+00 1.939888347453445405e+01 2.864000000000000000e+03 5.035709242909650607e-01
0.000000000000000000e+00 1.958767646079486369e+01 1.796000000000000000e+03 4.926261148373048959e-01
0.000000000000000000e+00 1.956304276173302981e+01 3.167000000000000000e+03 0.000000000000000000e+00
0.000000000000000000e+00 1.980224164290259026e+01 2.955000000000000000e+03 4.909321703447153684e-01
0.000000000000000000e+00 1.999071309115114303e+01 1.770000000000000000e+03 1.488438877390705350e-01
0.000000000000000000e+00 1.994329385027381818e+01 3.146000000000000000e+03 3.689969547695485241e-01
0.000000000000000000e+00 2.016156810175777281e+01 5.475000000000000000e+03 6.995002689580032129e-02
0.000000000000000000e+00 2.081861412260954225e+01 1.734000000000000000e+03 1.740455418535968857e-01
-1.000000000000000000e+00 2.073024789724777861e+01 1.783000000000000000e+03 3.768678426267658699e-01
-1.000000000000000000e+00 2.063471548300200809e+01 3.144000000000000000e+03 1.162579865146617930e-02
-1.000000000000000000e+00 2.080384031975122028e+01 2.929000000000000000e+03 5.498136088087809403e-01
-1.000000000000000000e+00 2.092437416244773374e+01 1.794000000000000000e+03 7.206515081414461843e-01
-2.000000000000000000e+00 2.082126188230524377e+01 1.300000000000000000e+01 7.285780859876866966e-01
-2.000000000000000000e+00 2.035959067579916137e+01 3.663000000000000000e+03 1.224575393677596047e-03
-2.000000000000000000e+00 2.061681785572354997e+01 1.143000000000000000e+03 3.927228969274325632e-01
-2.000000000000000000e+00 2.037874916521944968e+01 1.766000000000000000e+03 9.439706739905932009e-01
-2.000000000000000000e+00 2.026885665974531037e+01 1.377000000000000000e+03 3.506198505383072428e-01
-2.000000000000000000e+00 2.008759106955896456e+01 3.635000000000000000e+03 3.085918826235858337e-01
-2.000000000000000000e+00 2.034674904213114033e+01 1.100000000000000000e+01 2.793055471554241054e-01
-2.000000000000000000e+00 1.989822327345449082e+01 1.354000000000000000e+03 2.774369825719209643e+02
-2.000000000000000000e+00 1.972452735662842471e+01 3.617000000000000000e+03 4.407848026641900105e+02
-1.000000000000000000e+00 1.999208956577315988e+01 1.149000000000000000e+03 6.583859756158111622e+02
-1.000000000000000000e+00 1.979347801996146572e+01 1.400000000000000000e+01 9.245411138389973758e+02
-2.000000000000000000e+00 1.938382611526798627e+01 2.281000000000000000e+03 1.220572511101093369e+03
0.000000000000000000e+00 1.940632838050294851e+01 2.319000000000000000e+03 1.514930256793932813e+03
0.000000000000000000e+00 1.947359524439983502e+01 1.200000000000000000e+01 1.767719663786366937e+03
0.000000000000000000e+00 1.909456478844944272e+01 1.359000000000000000e+03 1.939214478385412121e+03
0.000000000000000000e+00 1.898915648486972430e+01 2.972000000000000000e+03 2.000000000000000000e+03
0.000000000000000000e+00 1.919803151613250947e+01 1.141000000000000000e+03 1.939214478385412121e+03
1.000000000000000000e+00 1.904676514183856284e+01 4.246000000000000000e+03 1.767719663786366937e+03
0.000000000000000000e+00 1.951766111333086684e+01 4.151000000000000000e+03 1.514930256793932813e+03
0.000000000000000000e+00 1.993282471929706290e+01 1.200000000000000000e+01 1.220572511101093369e+03
0.000000000000000000e+00 1.953581048338962134e+01 1.793000000000000000e+03 9.245411138389973758e+02
1.000000000000000000e+00 1.949620362141981289e+01 3.184000000000000000e+03 6.583859756158111622e+02
1.000000000000000000e+00 1.974443576713665394e+01 1.168000000000000000e+03 4.407848026641900105e+02
1.000000000000000000e+00 1.959492567954696085e+01 1.777000000000000000e+03 2.774369825719209643e+02
0.000000000000000000e+00 1.956771721320381019e+01 3.152000000000000000e+03 1.641699972477975962e+02
0.000000000000000000e+00 1.978611229766744373e+01 4.246000000000000000e+03 9.133030922126044970e+01
0.000000000000000000e+00 2.020584765673689986e+01 1.782000000000000000e+03 3.050815426895239213e-01
0.000000000000000000e+00 2.013491364472991307e+01 1.409000000000000000e+03 5.427886795435737932e-01
0.000000000000000000e+00 1.999429495671619250e+01 1.780000000000000000e+03 8.270839492386014014e-01
0.000000000000000000e+00 1.992974904956476934e+01 1.801000000000000000e+03 9.485052135313517541e-01
0.000000000000000000e+00 1.987104286863222313e+01 3.212000000000000000e+03 7.730233912892695569e-01
0.000000000000000000e+00 2.008527035506345371e+01 1.798000000000000000e+03 3.689930872022688657e-01
0.000000000000000000e+00 2.001866479400328558e+01 1.799000000000000000e+03 8.308262494280086452e-01
0.000000000000000000e+00 1.995414321745561992e+01 1.810000000000000000e+03 4.138863267016257286e-01
0.000000000000000000e+00 1.989354873772222376e+01 1.818000000000000000e+03 3.221555749667298629e-01
0.000000000000000000e+00 1.983615382457077914e+01 1.772000000000000000e+03 3.494497922323831496e-01
0.000000000000000000e+00 1.977145100130287858e+01 1.809000000000000000e+03 6.875642391643844720e-01
0.000000000000000000e+00 1.971568353936137896e+01 3.169000000000000000e+03 3.195821227284967314e-02
0.000000000000000000e+00 1.992294120018298997e+01 2.926000000000000000e+03 8.111005885037347873e-01
0.000000000000000000e+00 2.007484714233315160e+01 1.200000000000000000e+01 0.000000000000000000e+00
1.000000000000000000e+00 1.965986281150248161e+01 3.059000000000000000e+03 6.760852641271080099e-01
1.000000000000000000e+00 1.986541768648433504e+01 1.741000000000000000e+03 8.364144095951211444e-01
1.000000000000000000e+00 1.980899137478188621e+01 1.739000000000000000e+03 2.587934314428759208e-01
1.000000000000000000e+00 1.975373710597174082e+01 1.000000000000000000e+01 3.614432442072359475e-01
1.000000000000000000e+00 1.936748210397430370e+01 1.413000000000000000e+03 5.978134909416055187e-02
1.000000000000000000e+00 1.926526332075266978e+01 1.180000000000000000e+03 4.535246075793033516e-01
1.000000000000000000e+00 1.912153804644485078e+01 1.300000000000000000e+01 6.363712525591824765e-02
1.000000000000000000e+00 1.875827574573368040e+01 2.593000000000000000e+03 5.255097884346223713e-01
1.000000000000000000e+00 1.890450540937699486e+01 1.400000000000000000e+01 4.239486111469528140e-01
1.000000000000000000e+00 1.854850465522386571e+01 1.100000000000000000e+01 2.127260773451370435e-01
2.000000000000000000e+00 1.820496398018524431e+01 1.399000000000000000e+03 4.438020562416244985e-02
2.000000000000000000e+00 1.816017405856305800e+01 2.549000000000000000e+03 2.570413484103205581e-01
2.000000000000000000e+00 1.833765381214245593e+01 1.100000000000000000e+01 4.278073928432506445e-01
2.000000000000000000e+00 1.801961393764996444e+01 2.988000000000000000e+03 1.788624001661495155e-01
2.000000000000000000e+00 1.828570235984276593e+01 1.369000000000000000e+03 3.206082109181257467e-01
2.000000000000000000e+00 1.822960676369759980e+01 1.366000000000000000e+03 6.072779368021107294e-01
2.000000000000000000e+00 1.817448847648383037e+01 1.300000000000000000e+01 2.774369825719209643e+02
3.000000000000000000e+00 1.786079095987853904e+01 1.380000000000000000e+03 4.407848026641900105e+02
3.000000000000000000e+00 1.784086940143754418e+01 1.371000000000000000e+03 6.583859756158111622e+02
4.000000000000000000e+00 1.781966273134318612e+01 9.000000000000000000e+00 9.245411138389973758e+02
4.000000000000000000e+00 1.755639029792884287e+01 7.000000000000000000e+00 1.220572511101093369e+03
4.000000000000000000e+00 1.730277445756025045e+01 9.000000000000000000e+00 1.514930256793932813e+03
4.000000000000000000e+00 1.705931680786406801e+01 8.000000000000000000e+00 1.767719663786366937e+03
5.000000000000000000e+00 1.682513751827320192e+01 8.000000000000000000e+00 1.939214478385412121e+03
5.000000000000000000e+00 1.661939850331160429e+01 7.000000000000000000e+00 2.000000000000000000e+03
6.000000000000000000e+00 1.642159773062073214e+01 7.000000000000000000e+00 1.939214478385412121e+03
6.000000000000000000e+00 1.625086057528686823e+01 8.000000000000000000e+00 1.767719663786366937e+03
6.000000000000000000e+00 1.608703479784999857e+01 9.000000000000000000e+00 1.514930256793932813e+03
6.000000000000000000e+00 1.592975110487419599e+01 6.000000000000000000e+00 1.220572511101093369e+03
6.000000000000000000e+00 1.577786987081686121e+01 9.000000000000000000e+00 9.245411138389973758e+02
6.000000000000000000e+00 1.563221844952783357e+01 1.000000000000000000e+01 6.583859756158111622e+02
6.000000000000000000e+00 1.549206604069290627e+01 9.000000000000000000e+00 4.407848026641900105e+02
5.000000000000000000e+00 1.535672916098679508e+01 9.000000000000000000e+00 2.774369825719209643e+02
5.000000000000000000e+00 1.520687903608505920e+01 1.000000000000000000e+01 1.641699972477975962e+02
5.000000000000000000e+00 1.506244996434314487e+01 6.000000000000000000e+00 9.133030922126044970e+01
5.000000000000000000e+00 1.492224076078996475e+01 7.000000000000000000e+00 2.731734730600715588e-01
5.000000000000000000e+00 1.478701285291051803e+01 8.000000000000000000e+00 9.006631362249024608e-01
5.000000000000000000e+00 1.465657230090831575e+01 7.000000000000000000e+00 4.576787103720537653e-01
6.000000000000000000e+00 1.453034776962184615e+01 8.000000000000000000e+00 7.550108131263848499e-01
5.000000000000000000e+00 1.442782940869159169e+01 6.000000000000000000e+00 8.870865047301738082e-01
6.000000000000000000e+00 1.430902644962108639e+01 6.000000000000000000e+00 3.076588382067657612e-01
5.000000000000000000e+00 1.421344824100433257e+01 8.000000000000000000e+00 7.662192340783589017e-01
5.000000000000000000e+00 1.410208449362090910e+01 1.000000000000000000e+01 2.534066817203410871e-01
5.000000000000000000e+00 1.399477125744117245e+01 9.000000000000000000e+00 3.290044719430682552e-01
5.000000000000000000e+00 1.389077432497283660e+01 9.000000000000000000e+00 8.128925230039326655e-01
5.000000000000000000e+00 1.379015725008649795e+01 8.000000000000000000e+00 1.139781898159516471e-01
5.000000000000000000e+00 1.369259619564345165e+01 8.000000000000000000e+00 8.642795528893075785e-01
6.000000000000000000e+00 1.359816507635189176e+01 7.000000000000000000e+00 4.245258364847598331e-01
6.000000000000000000e+00 1.352581981978139325e+01 7.000000000000000000e+00 0.000000000000000000e+00
6.000000000000000000e+00 1.345567198720575952e+01 8.000000000000000000e+00 9.977630086463378234e-01
6.000000000000000000e+00 1.338782948432400843e+01 6.000000000000000000e+00 7.407189786352775807e-01
6.000000000000000000e+00 1.332162641750000454e+01 1.000000000000000000e+01 3.294857129221105962e-01
6.000000000000000000e+00 1.325815332034659377e+01 9.000000000000000000e+00 5.302003525556686636e-01
6.000000000000000000e+00 1.319634369743762647e+01 8.000000000000000000e+00 1.040666190409171854e-01
6.000000000000000000e+00 1.313613343183021520e+01 8.000000000000000000e+00 2.808015053514555381e-01
6.000000000000000000e+00 1.307765347809057843e+01 6.000000000000000000e+00 6.672121414877976164e-01
6.000000000000000000e+00 1.302045295969024963e+01 8.000000000000000000e+00 2.988941314812872951e-01
6.000000000000000000e+00 1.296525197398186435e+01 9.000000000000000000e+00 4.940847775883239201e-02
7.000000000000000000e+00 1.291178149531861408e+01 7.000000000000000000e+00 2.391666473307311191e-01
7.000000000000000000e+00 1.287866825471788879e+01 8.000000000000000000e+00 5.548923354166525046e-01
7.000000000000000000e+00 1.284647649626641019e+01 9.000000000000000000e+00 1.882575609213814616e-01
7.000000000000000000e+00 1.281517160762525265e+01 7.000000000000000000e+00 8.991890166870419865e-02
8.000000000000000000e+00 1.278414349470096134e+01 1.161000000000000000e+03 8.641809152638865177e-01
8.000000000000000000e+00 1.299496881700942197e+01 1.161000000000000000e+03 5.088483800791759881e-01
8.000000000000000000e+00 1.319720125158568891e+01 1.161000000000000000e+03 8.608843737387092965e-01
8.000000000000000000e+00 1.339118078916740906e+01 1.161000000000000000e+03 2.774369825719209643e+02
8.000000000000000000e+00 1.357733982326315392e+01 1.161000000000000000e+03 4.407848026641900105e+02
8.000000000000000000e+00 1.375604999760903269e+01 1.161000000000000000e+03 6.583859756158111622e+02
8.000000000000000000e+00 1.392768889231118479e+01 1.161000000000000000e+03 9.245411138389973758e+02
8.000000000000000000e+00 1.409263754618297249e+01 1.161000000000000000e+03 1.220572511101093369e+03
8.000000000000000000e+00 1.425127311141559616e+01 1.161000000000000000e+03 1.514930256793932813e+03
8.000000000000000000e+00 1.440395688776503036e+01 1.161000000000000000e+03 1.767719663786366937e+03
8.000000000000000000e+00 1.455101966731950291e+01 1.161000000000000000e+03 1.939214478385412121e+03
8.000000000000000000e+00 1.469274776656647497e+01 1.161000000000000000e+03 2.000000000000000000e+03
8.000000000000000000e+00 1.482937360412823402e+01 1.161000000000000000e+03 1.939214478385412121e+03
8.000000000000000000e+00 1.496107379042925167e+01 1.161000000000000000e+03 1.767719663786366937e+03
8.000000000000000000e+00 1.508797562672362247e+01 1.161000000000000000e+03 1.514930256793932813e+03
8.000000000000000000e+00 1.521017044276189800e+01 1.161000000000000000e+03 1.220572511101093369e+03
8.000000000000000000e+00 1.532773032533246749e+01 1.161000000000000000e+03 9.245411138389973758e+02
8.000000000000000000e+00 1.544072420666513601e+01 1.161000000000000000e+03 6.583859756158111622e+02
8.000000000000000000e+00 1.554923007650587685e+01 1.161000000000000000e+03 4.407848026641900105e+02
8.000000000000000000e+00 1.565334174580885573e+01 1.161000000000000000e+03 2.774369825719209643e+02
8.000000000000000000e+00 1.575317035084133188e+01 1.161000000000000000e+03 1.641699972477975962e+02
8.000000000000000000e+00 1.584884200983577252e+01 1.161000000000000000e+03 9.133030922126044970e+01
8.000000000000000000e+00 1.594049347717376897e+01 1.161000000000000000e+03 8.542739275710786728e-01
8.000000000000000000e+00 1.602824943418092118e+01 1.161000000000000000e+03 2.558041085179303398e-01
8.000000000000000000e+00 1.611226417328819949e+01 1.161000000000000000e+03 5.197653481273445397e-01
8.000000000000000000e+00 1.619268622756608167e+01 1.161000000000000000e+03 4.094929617289855273e-01
8.000000000000000000e+00 1.626965812325600069e+01 1.161000000000000000e+03 1.401131479267536672e-02
8.000000000000000000e+00 1.634331665131757916e+01 1.161000000000000000e+03 8.558102263976644641e-01
8.000000000000000000e+00 1.641379367731795114e+01 1.161000000000000000e+03 1.084957064344428401e-01
8.000000000000000000e+00 1.648121525161724321e+01 1.161000000000000000e+03 9.859588258601859057e-02
8.000000000000000000e+00 1.654570273189484908e+01 1.161000000000000000e+03 6.767457765172520956e-01
8.000000000000000000e+00 1.660737291027289686e+01 1.161000000000000000e+03 4.971009508201694738e-01
8.000000000000000000e+00 1.666633767722420245e+01 1.161000000000000000e+03 6.363455520206007243e-01
8.000000000000000000e+00 1.672270462831053450e+01 1.161000000000000000e+03 3.912446074925528539e-01
8.000000000000000000e+00 1.677657696389339392e+01 1.161000000000000000e+03 3.387762267405188821e-01
8.000000000000000000e+00 1.682805388403445335e+01 1.161000000000000000e+03 0.000000000000000000e+00
8.000000000000000000e+00 1.687723056264895760e+01 1.161000000000000000e+03 2.005513750480888424e-01
8.000000000000000000e+00 1.692419862299406574e+01 1.161000000000000000e+03 7.286095059281669784e-01
8.000000000000000000e+00 1.696904619602604924e+01 1.161000000000000000e+03 5.902342166070504437e-01
8.000000000000000000e+00 1.701185767706476426e+01 1.161000000000000000e+03 4.074193255294974447e-01
8.000000000000000000e+00 1.705271411223045419e+01 1.161000000000000000e+03 9.404029988595399292e-01
8.000000000000000000e+00 1.709169362189737029e+01 1.161000000000000000e+03 3.460603373747688227e-01
8.000000000000000000e+00 1.712887080924788918e+01 1.161000000000000000e+03 4.466653849751063277e-01
8.000000000000000000e+00 1.716431759842879146e+01 1.161000000000000000e+03 4.412845985244174818e-01
8.000000000000000000e+00 1.719810303265371942e+01 1.161000000000000000e+03 8.313170302250562083e-01
8.000000000000000000e+00 1.723029358008870915e+01 1.161000000000000000e+03 9.062020000696994204e-01
8.000000000000000000e+00 1.726095296280925595e+01 1.161000000000000000e+03 4.937985045735837630e-01
8.000000000000000000e+00 1.729014219956787812e+01 1.161000000000000000e+03 6.833348848221686422e-01
8.000000000000000000e+00 1.731792013029291510e+01 8.000000000000000000e+00 9.370651967061238707e-02
8.000000000000000000e+00 1.712260370860959569e+01 8.000000000000000000e+00 8.288431221589707132e-01
7.000000000000000000e+00 1.693449850749180641e+01 6.000000000000000000e+00 2.225616772719534175e-01
7.000000000000000000e+00 1.673366675260346526e+01 6.000000000000000000e+00 5.073391982684622992e-01
7.000000000000000000e+00 1.654020738781495936e+01 8.000000000000000000e+00 2.774369825719209643e+02
8.000000000000000000e+00 1.635432184316298887e+01 7.000000000000000000e+00 4.407848026641900105e+02
7.000000000000000000e+00 1.619446842655178997e+01 9.000000000000000000e+00 6.583859756158111622e+02
7.000000000000000000e+00 1.602180034392513619e+01 1.000000000000000000e+01 9.245411138389973758e+02
7.000000000000000000e+00 1.585594499949883840e+01 8.000000000000000000e+00 1.220572511101093369e+03
7.000000000000000000e+00 1.569617080800571784e+01 7.000000000000000000e+00 1.514930256793932813e+03
8.000000000000000000e+00 1.554254271938816068e+01 9.000000000000000000e+00 1.767719663786366937e+03
7.000000000000000000e+00 1.541476152002566380e+01 7.000000000000000000e+00 1.939214478385412121e+03
8.000000000000000000e+00 1.527262298714290800e+01 8.000000000000000000e+00 2.000000000000000000e+03
8.000000000000000000e+00 1.515577353723177190e+01 7.000000000000000000e+00 1.939214478385412121e+03
8.000000000000000000e+00 1.504359595520647908e+01 9.000000000000000000e+00 1.767719663786366937e+03
8.000000000000000000e+00 1.493641620031776363e+01 8.000000000000000000e+00 1.514930256793932813e+03
8.000000000000000000e+00 1.483336314824517288e+01 8.000000000000000000e+00 1.220572511101093369e+03
8.000000000000000000e+00 1.473435304725492223e+01 8.000000000000000000e+00 9.245411138389973758e+02
7.000000000000000000e+00 1.463911302990980268e+01 7.000000000000000000e+00 6.583859756158111622e+02
7.000000000000000000e+00 1.452793064041581594e+01 7.000000000000000000e+00 4.407848026641900105e+02
7.000000000000000000e+00 1.442075538541660862e+01 7.000000000000000000e+00 2.774369825719209643e+02
6.000000000000000000e+00 1.431736768012178906e+01 1.000000000000000000e+01 1.641699972477975962e+02
6.000000000000000000e+00 1.419888309844771257e+01 8.000000000000000000e+00 9.133030922126044970e+01
6.000000000000000000e+00 1.408412089149621060e+01 7.000000000000000000e+00 1.344007317898274767e-01
6.000000000000000000e+00 1.397309280305983492e+01 5.000000000000000000e+00 3.766064426830595391e-01
6.000000000000000000e+00 1.386546081733964542e+01 7.000000000000000000e+00 7.462577965462650065e-01
6.000000000000000000e+00 1.376186166923870502e+01 8.000000000000000000e+00 2.511969889606019413e-01
5.000000000000000000e+00 1.366194588271756594e+01 7.000000000000000000e+00 5.873000222817675864e-01
5.000000000000000000e+00 1.354591574718998537e+01 8.000000000000000000e+00 5.408277497817469692e-01
4.000000000000000000e+00 1.343400425321788916e+01 8.000000000000000000e+00 6.190649018509137846e-01
4.000000000000000000e+00 1.330658889209414930e+01 8.000000000000000000e+00 9.289429053621020005e-01
4.000000000000000000e+00 1.318349443914465091e+01 8.000000000000000000e+00 4.315851801092419615e-01
4.000000000000000000e+00 1.306455226808373560e+01 6.000000000000000000e+00 4.654468910805737991e-01
4.000000000000000000e+00 1.294921597421489956e+01 9.000000000000000000e+00 8.814301022143710140e-01
3.000000000000000000e+00 1.283830664653828890e+01 8.000000000000000000e+00 7.965145299587986782e-01
3.000000000000000000e+00 1.271161315741023756e+01 9.000000000000000000e+00 2.628886190790605815e-01
3.000000000000000000e+00 1.258935558399770471e+01 7.000000000000000000e+00 0.000000000000000000e+00
3.000000000000000000e+00 1.247078425495256404e+01 8.000000000000000000e+00 3.965791375770522098e-01
3.000000000000000000e+00 1.235633259755295477e+01 1.100000000000000000e+01 1.569720159482460575e-01
3.000000000000000000e+00 1.224622499064713033e+01 7.000000000000000000e+00 9.354051638250656664e-01
2.000000000000000000e+00 1.213894691940758364e+01 8.000000000000000000e+00 3.998041066121438281e-02
2.000000000000000000e+00 1.201607950102874511e+01 1.000000000000000000e+01 9.863604166630369763e-01
2.000000000000000000e+00 1.189764392525699854e+01 8.000000000000000000e+00 1.431808220046012492e-01
2.000000000000000000e+00 1.178269848242432971e+01 7.000000000000000000e+00 4.855582882146849411e-01
2.000000000000000000e+00 1.167129981902620806e+01 9.000000000000000000e+00 3.302600989983409674e-01
1.000000000000000000e+00 1.156388698594920150e+01 7.000000000000000000e+00 2.350340751281972951e-01
1.000000000000000000e+00 1.144026632405048183e+01 7.000000000000000000e+00 6.098880384516343067e-01
0.000000000000000000e+00 1.132067504153277326e+01 1.000000000000000000e+01 1.325221393202098419e-01
0.000000000000000000e+00 1.118626356534819877e+01 8.000000000000000000e+00 1.527542996874626802e-01
1.000000000000000000e+00 1.105586919811962865e+01 8.000000000000000000e+00 2.707693579655240379e-01
1.000000000000000000e+00 1.094899013898408668e+01 9.000000000000000000e+00 7.273315019145013549e-01
3.000000000000000000e+00 1.084568261971463521e+01 9.000000000000000000e+00 6.821577801488316606e-01
4.000000000000000000e+00 1.078415566082034616e+01 8.000000000000000000e+00 5.434505491298616819e-01
5.000000000000000000e+00 1.074341854229625959e+01 9.000000000000000000e+00 2.774369825719209643e+02
6.000000000000000000e+00 1.072320232772692705e+01 8.000000000000000000e+00 4.407848026641900105e+02
7.000000000000000000e+00 1.072243585938268140e+01 9.000000000000000000e+00 6.583859756158111622e+02
7.000000000000000000e+00 1.074087951886901848e+01 8.000000000000000000e+00 9.245411138389973758e+02
7.000000000000000000e+00 1.075828266255902399e+01 7.000000000000000000e+00 1.220572511101093369e+03
7.000000000000000000e+00 1.077479990078349914e+01 7.000000000000000000e+00 1.514930256793932813e+03
7.000000000000000000e+00 1.079077108641264005e+01 9.000000000000000000e+00 1.767719663786366937e+03
7.000000000000000000e+00 1.080669893087906708e+01 8.000000000000000000e+00 1.939214478385412121e+03
7.000000000000000000e+00 1.082207372150282332e+01 7.000000000000000000e+00 2.000000000000000000e+03
7.000000000000000000e+00 1.083693958153536308e+01 9.000000000000000000e+00 1.939214478385412121e+03
7.000000000000000000e+00 1.085186919984945320e+01 7.000000000000000000e+00 1.767719663786366937e+03
7.000000000000000000e+00 1.086602473932348367e+01 9.000000000000000000e+00 1.514930256793932813e+03
6.000000000000000000e+00 1.088010816709809525e+01 6.000000000000000000e+00 1.220572511101093369e+03
5.000000000000000000e+00 1.087377828528278734e+01 1.000000000000000000e+01 9.245411138389973758e+02
4.000000000000000000e+00 1.084901396818896124e+01 9.000000000000000000e+00 6.583859756158111622e+02
4.000000000000000000e+00 1.080542161828687675e+01 7.000000000000000000e+00 4.407848026641900105e+02
4.000000000000000000e+00 1.076268027957560847e+01 6.000000000000000000e+00 2.774369825719209643e+02
4.000000000000000000e+00 1.072088710872188422e+01 9.000000000000000000e+00 1.641699972477975962e+02
2.000000000000000000e+00 1.068073194522738945e+01 1.200000000000000000e+01 9.133030922126044970e+01
1.000000000000000000e+00 1.060358495139120905e+01 8.000000000000000000e+00 2.799899591717983638e-01
1.000000000000000000e+00 1.050867927768094212e+01 8.000000000000000000e+00 3.870867122514453085e-01
0.000000000000000000e+00 1.041669735952124221e+01 9.000000000000000000e+00 2.378565206515804720e-01
0.000000000000000000e+00 1.030844866521385050e+01 7.000000000000000000e+00 6.949450382873598731e-01
0.000000000000000000e+00 1.020321188192342277e+01 8.000000000000000000e+00 9.027030150949485465e-01
0.000000000000000000e+00 1.010144732647476395e+01 1.000000000000000000e+01 4.701343361515430974e-01
0.000000000000000000e+00 1.000321288879126058e+01 8.000000000000000000e+00 5.723240320724354291e-02
-1.000000000000000000e+00 9.907602805336104268e+00 8.000000000000000000e+00 3.439512949417833365e-02
-1.000000000000000000e+00 9.795630443889388417e+00 9.000000000000000000e+00 9.643573813817462037e-01
-1.000000000000000000e+00 9.687347630269275811e+00 1.000000000000000000e+01 6.095169073196372578e-01
-1.000000000000000000e+00 9.582611535252437918e+00 8.000000000000000000e+00 6.834868951900584522e-01
-1.000000000000000000e+00 9.480708176437062207e+00 9.000000000000000000e+00 5.705044770033870227e-01
-1.000000000000000000e+00 9.382104935818400548e+00 1.100000000000000000e+01 9.243409816254163358e-01
-2.000000000000000000e+00 9.286866913872104945e+00 9.000000000000000000e+00 0.000000000000000000e+00
-1.000000000000000000e+00 9.174824958947422004e+00 9.000000000000000000e+00 3.753984163366175242e-01
-1.000000000000000000e+00 9.085509953238890546e+00 1.100000000000000000e+01 2.431838921692530686e-02
-1.000000000000000000e+00 8.999201428188548846e+00 8.000000000000000000e+00 3.571101064788018142e-02
-1.000000000000000000e+00 8.914822223751011521e+00 1.000000000000000000e+01 4.972652150195737697e-01
-1.000000000000000000e+00 8.833259966349274350e+00 1.100000000000000000e+01 8.678915523138420740e-01
-1.000000000000000000e+00 8.754214357184544326e+00 1.100000000000000000e+01 4.162625487582861661e-01
-1.000000000000000000e+00 8.677396416351523811e+00 1.000000000000000000e+01 9.783668137318941582e-01
-1.000000000000000000e+00 8.602528741126208800e+00 1.000000000000000000e+01 3.040451481293070524e-01
-1.000000000000000000e+00 8.529728816734191810e+00 9.000000000000000000e+00 4.811603068413412565e-01
-1.000000000000000000e+00 8.458725388597674311e+00 1.000000000000000000e+01 2.601595370029985421e-02
-1.000000000000000000e+00 8.389834394481319180e+00 1.000000000000000000e+01 1.998541741099673086e-01
